Input,Output,Tag
"It works again,  thanks.","Happy to help, talk to you later!",Ending
"You are a lifesaver, it works, thanks for the help","Happy to help, talk to you later!",Ending
Yes it works! Thanks and goodbye,"Happy to help, talk to you later!",Ending
"Alright, thank you!","Happy to help, talk to you later!",Ending
Thanks for everything!,"Happy to help, talk to you later!",Ending
"Thank you, bye.","Happy to help, talk to you later!",Ending
"Thank you for everthing, that'll be all.","Happy to help, talk to you later!",Ending
"Thanks for your help, that's all. Bye.","Happy to help, talk to you later!",Ending
"I need to go, bye.","Happy to help, talk to you later!",Ending
"Yes this helps, goodbye","Happy to help, talk to you later!",Ending
"This solved my problem, thanks!","Happy to help, talk to you later!",Ending
I get it now!,"Happy to help, talk to you later!",Ending
"I see, bye!","Happy to help, talk to you later!",Ending
Farewell,"Happy to help, talk to you later!",Ending
Alright bye,"Happy to help, talk to you later!",Ending
Bye-bye,"Happy to help, talk to you later!",Ending
"Okay tyvm, cya","Happy to help, talk to you later!",Ending
Thanks for your help!,"Happy to help, talk to you later!",Ending
Goodbye,"Happy to help, talk to you later!",Ending
"That's all for now, bye!","Happy to help, talk to you later!",Ending
Talk to you later,"Happy to help, talk to you later!",Ending
Good afternoon,"Hello, how can I help you?",Greeting
"Good morning, I have a question","Hello, how can I help you?",Greeting
"Good morning, can you help me with my problem?","Hello, how can I help you?",Greeting
"Good evening, I have a question","Hello, how can I help you?",Greeting
"evening, can you help me with my problem?","Hello, how can I help you?",Greeting
"Good afternoon, can you help me with my problem?","Hello, how can I help you?",Greeting
I have been trying to do something but I can't manage. Can you help me?,"Hello, how can I help you?",Greeting
"I'm struggling with something, can you help?","Hello, how can I help you?",Greeting
"Hey, can you solve my problem?","Hello, how can I help you?",Greeting
"Hey there, I have a question","Hello, how can I help you?",Greeting
There is something you can help me with.,"Hello, how can I help you?",Greeting
"Hi there, I have a question","Hello, how can I help you?",Greeting
"Hey, can you help me?","Hello, how can I help you?",Greeting
I'm confused about something,"Hello, how can I help you?",Greeting
"Hi there, I wanted to ask if you could help me","Hello, how can I help you?",Greeting
"Hey, I'm stuck and I wanted to ask if you could help me","Hello, how can I help you?",Greeting
"I'm stuck, can you help?","Hello, how can I help you?",Greeting
"Hello, I have a question","Hello, how can I help you?",Greeting
Hi there,"Hello, how can I help you?",Greeting
Hoi,"Hello, how can I help you?",Greeting
Hallo,"Hello, how can I help you?",Greeting
Hello whats up,"Hello, how can I help you?",Greeting
Hey,"Hello, how can I help you?",Greeting
"Hi there, how are you?","Hello, how can I help you?",Greeting
"Hey, how you doing?","Hello, how can I help you?",Greeting
Hi,"Hello, how can I help you?",Greeting
Can I find the library opening hours somewhere?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
At what time does the Central Library close?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
At what time is the Central Library open?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
When can I go to the Central Library?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
At what time does the Library of Science close?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
At what time is the Library of Science open?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
When can I go to the Library of Science?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
At what time does the Library of Medical Science close?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
At what time is the Library of Medical Science open?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
When can I go to the Library of Medical Science?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
At what time does the UBN - Social Sciences close?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
At what time is the UBN - Social Sciences open?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
When can I go to the UBN - Social Sciences?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
At what time does the Law Library close?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
At what time is the Law Library open?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
When can I go to the Law Library?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
At what time does the Nijmegen School of Management library close?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
At what time is the Nijmegen School of Management library open?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
When can I go to the Nijmegen School of Management library?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
At what time does the NSM library close?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
At what time is the NSM library open?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
When can I go to the NSM library?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
At what time does the UB close?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
At what time is the UB open?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
When can I go to the UB?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
Is the library open?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
When does the library close?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
Is the library open on Saturday?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
Can I study in the library on Sunday?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
Is the library still open at 8 in the evening?,You can find the opening hours to a specific library here: https://www.ru.nl/library/library/library-locations/,Opening hours
Where can I find the book that I am looking for?,The search engine of Radboud University is called RuQuest. You can try to find what you are looking for there. Take a look at the FAQ page here: https://libguides.ru.nl/RuQuestEN/faq,"Where to find books, journals and other publications"
Where can I find the journal that I am looking for?,The search engine of Radboud University is called RuQuest. You can try to find what you are looking for there. Take a look at the FAQ page here: https://libguides.ru.nl/RuQuestEN/faq,"Where to find books, journals and other publications"
"I am looking for a journal, what should I do?",The search engine of Radboud University is called RuQuest. You can try to find what you are looking for there. Take a look at the FAQ page here: https://libguides.ru.nl/RuQuestEN/faq,"Where to find books, journals and other publications"
"I am looking for a book, what can I do?",The search engine of Radboud University is called RuQuest. You can try to find what you are looking for there. Take a look at the FAQ page here: https://libguides.ru.nl/RuQuestEN/faq,"Where to find books, journals and other publications"
Does the library have the book that I am searching for?,The search engine of Radboud University is called RuQuest. You can try to find what you are looking for there. Take a look at the FAQ page here: https://libguides.ru.nl/RuQuestEN/faq,"Where to find books, journals and other publications"
Does the library have the journal that I am searching for?,The search engine of Radboud University is called RuQuest. You can try to find what you are looking for there. Take a look at the FAQ page here: https://libguides.ru.nl/RuQuestEN/faq,"Where to find books, journals and other publications"
"I'm looking for some publications for my research, where should I go?",The search engine of Radboud University is called RuQuest. You can try to find what you are looking for there. Take a look at the FAQ page here: https://libguides.ru.nl/RuQuestEN/faq,"Where to find books, journals and other publications"
I'm looking for books.,The search engine of Radboud University is called RuQuest. You can try to find what you are looking for there. Take a look at the FAQ page here: https://libguides.ru.nl/RuQuestEN/faq,"Where to find books, journals and other publications"
Where can I search for books?,The search engine of Radboud University is called RuQuest. You can try to find what you are looking for there. Take a look at the FAQ page here: https://libguides.ru.nl/RuQuestEN/faq,"Where to find books, journals and other publications"
Where can I find published articles?,The search engine of Radboud University is called RuQuest. You can try to find what you are looking for there. Take a look at the FAQ page here: https://libguides.ru.nl/RuQuestEN/faq,"Where to find books, journals and other publications"
Can I find ebooks somewhere?,The search engine of Radboud University is called RuQuest. You can try to find what you are looking for there. Take a look at the FAQ page here: https://libguides.ru.nl/RuQuestEN/faq,"Where to find books, journals and other publications"
I can't find the publication I'm looking for. What should I do?,The search engine of Radboud University is called RuQuest. You can try to find what you are looking for there. Take a look at the FAQ page here: https://libguides.ru.nl/RuQuestEN/faq,"Where to find books, journals and other publications"
How many times can I renew my book?,"All information about borrowing and/or reservations of publications, loan periods and pick up times you can find here: https://www.ru.nl/library/services/borrowing/",Borrowing and reservations of books
How do I know if I have to return my book?,"All information about borrowing and/or reservations of publications, loan periods and pick up times you can find here: https://www.ru.nl/library/services/borrowing/",Borrowing and reservations of books
How can I request an article?,"All information about borrowing and/or reservations of publications, loan periods and pick up times you can find here: https://www.ru.nl/library/services/borrowing/",Borrowing and reservations of books
How can I borrow a book?,"All information about borrowing and/or reservations of publications, loan periods and pick up times you can find here: https://www.ru.nl/library/services/borrowing/",Borrowing and reservations of books
What is the loan period of a book?,"All information about borrowing and/or reservations of publications, loan periods and pick up times you can find here: https://www.ru.nl/library/services/borrowing/",Borrowing and reservations of books
Can I renew the loan period of a book?,"All information about borrowing and/or reservations of publications, loan periods and pick up times you can find here: https://www.ru.nl/library/services/borrowing/",Borrowing and reservations of books
Can I borrow a book from another library?,"All information about borrowing and/or reservations of publications, loan periods and pick up times you can find here: https://www.ru.nl/library/services/borrowing/",Borrowing and reservations of books
Can I reserve a book?,"All information about borrowing and/or reservations of publications, loan periods and pick up times you can find here: https://www.ru.nl/library/services/borrowing/",Borrowing and reservations of books
Where can I pick up my requested book?,"All information about borrowing and/or reservations of publications, loan periods and pick up times you can find here: https://www.ru.nl/library/services/borrowing/",Borrowing and reservations of books
When can I collect the book that I reserved?,"All information about borrowing and/or reservations of publications, loan periods and pick up times you can find here: https://www.ru.nl/library/services/borrowing/",Borrowing and reservations of books
How do I know when I can pick up my book?,"All information about borrowing and/or reservations of publications, loan periods and pick up times you can find here: https://www.ru.nl/library/services/borrowing/",Borrowing and reservations of books
How do I request a journal?,"All information about borrowing and/or reservations of publications, loan periods and pick up times you can find here: https://www.ru.nl/library/services/borrowing/",Borrowing and reservations of books
I requested a book a while ago. When will it be available?,"All information about borrowing and/or reservations of publications, loan periods and pick up times you can find here: https://www.ru.nl/library/services/borrowing/",Borrowing and reservations of books
Can I request a book from the Special Collection?,"For material requests or consultation, please fill out this form: https://www.ru.nl/library/library/special-collections/request-special-collections/. In case of a digitalisation request, please use the following form: https://www.ru.nl/library/library/special-collections/digitization-request-special-collections/.",Request from the Special Collections
How can I request a book from the Special Collection?,"For material requests or consultation, please fill out this form: https://www.ru.nl/library/library/special-collections/request-special-collections/. In case of a digitalisation request, please use the following form: https://www.ru.nl/library/library/special-collections/digitization-request-special-collections/.",Request from the Special Collections
Can the books from the Special Collection be requested?,"For material requests or consultation, please fill out this form: https://www.ru.nl/library/library/special-collections/request-special-collections/. In case of a digitalisation request, please use the following form: https://www.ru.nl/library/library/special-collections/digitization-request-special-collections/.",Request from the Special Collections
"The book that I am looking for is in the Special Collection, can I request such a book?","For material requests or consultation, please fill out this form: https://www.ru.nl/library/library/special-collections/request-special-collections/. In case of a digitalisation request, please use the following form: https://www.ru.nl/library/library/special-collections/digitization-request-special-collections/.",Request from the Special Collections
I want to request a journal from the Special Collection. How can I do that?,"For material requests or consultation, please fill out this form: https://www.ru.nl/library/library/special-collections/request-special-collections/. In case of a digitalisation request, please use the following form: https://www.ru.nl/library/library/special-collections/digitization-request-special-collections/.",Request from the Special Collections
I want to request a book from the Special Collection. How can I request this book?,"For material requests or consultation, please fill out this form: https://www.ru.nl/library/library/special-collections/request-special-collections/. In case of a digitalisation request, please use the following form: https://www.ru.nl/library/library/special-collections/digitization-request-special-collections/.",Request from the Special Collections
"I am currently working on some research and need to look up some references. Is it necessary to make a reservation for a work space? And if so, where can I make such reservation?","If you want to work at a study workspace in the library, you need to make a reservation on https://www.ru.nl/library/services/study/reservation-study/. When making the reservation, you can select if you want a PC workspace or not. You cannot make a reservation for more than 1 person. Notice that you cannot make a reservation if you are not a RU student or employee, and it is not possible to reserve a workspace more than 2 days in advance.",Reservation of a study workspace
"I tried to make a reservation for Friday and today is Monday, but I got an error. What can I do to make sure that I have a reservation?","If you want to work at a study workspace in the library, you need to make a reservation on https://www.ru.nl/library/services/study/reservation-study/. When making the reservation, you can select if you want a PC workspace or not. You cannot make a reservation for more than 1 person. Notice that you cannot make a reservation if you are not a RU student or employee, and it is not possible to reserve a workspace more than 2 days in advance.",Reservation of a study workspace
"I wanna make a reservation for a study workspace at 14:00, thanks.","If you want to work at a study workspace in the library, you need to make a reservation on https://www.ru.nl/library/services/study/reservation-study/. When making the reservation, you can select if you want a PC workspace or not. You cannot make a reservation for more than 1 person. Notice that you cannot make a reservation if you are not a RU student or employee, and it is not possible to reserve a workspace more than 2 days in advance.",Reservation of a study workspace
"I want to reserve a workspace with a PC, is that possible?","If you want to work at a study workspace in the library, you need to make a reservation on https://www.ru.nl/library/services/study/reservation-study/. When making the reservation, you can select if you want a PC workspace or not. You cannot make a reservation for more than 1 person. Notice that you cannot make a reservation if you are not a RU student or employee, and it is not possible to reserve a workspace more than 2 days in advance.",Reservation of a study workspace
I want to use a computer at the library to watch a lecture. Do I need to make a reservation?,"If you want to work at a study workspace in the library, you need to make a reservation on https://www.ru.nl/library/services/study/reservation-study/. When making the reservation, you can select if you want a PC workspace or not. You cannot make a reservation for more than 1 person. Notice that you cannot make a reservation if you are not a RU student or employee, and it is not possible to reserve a workspace more than 2 days in advance.",Reservation of a study workspace
Can I reserve a workspace for me and my study partner?,"If you want to work at a study workspace in the library, you need to make a reservation on https://www.ru.nl/library/services/study/reservation-study/. When making the reservation, you can select if you want a PC workspace or not. You cannot make a reservation for more than 1 person. Notice that you cannot make a reservation if you are not a RU student or employee, and it is not possible to reserve a workspace more than 2 days in advance.",Reservation of a study workspace
Where can I book a study workplace?,"If you want to work at a study workspace in the library, you need to make a reservation on https://www.ru.nl/library/services/study/reservation-study/. When making the reservation, you can select if you want a PC workspace or not. You cannot make a reservation for more than 1 person. Notice that you cannot make a reservation if you are not a RU student or employee, and it is not possible to reserve a workspace more than 2 days in advance.",Reservation of a study workspace
Can I use the PCs at the university library?,"If you want to work at a study workspace in the library, you need to make a reservation on https://www.ru.nl/library/services/study/reservation-study/. When making the reservation, you can select if you want a PC workspace or not. You cannot make a reservation for more than 1 person. Notice that you cannot make a reservation if you are not a RU student or employee, and it is not possible to reserve a workspace more than 2 days in advance.",Reservation of a study workspace
Do I need to make a reservation to use a computer?,"If you want to work at a study workspace in the library, you need to make a reservation on https://www.ru.nl/library/services/study/reservation-study/. When making the reservation, you can select if you want a PC workspace or not. You cannot make a reservation for more than 1 person. Notice that you cannot make a reservation if you are not a RU student or employee, and it is not possible to reserve a workspace more than 2 days in advance.",Reservation of a study workspace
Can I use the computers in the UB?,"If you want to work at a study workspace in the library, you need to make a reservation on https://www.ru.nl/library/services/study/reservation-study/. When making the reservation, you can select if you want a PC workspace or not. You cannot make a reservation for more than 1 person. Notice that you cannot make a reservation if you are not a RU student or employee, and it is not possible to reserve a workspace more than 2 days in advance.",Reservation of a study workspace
Can I study in the library?,"If you want to work at a study workspace in the library, you need to make a reservation on https://www.ru.nl/library/services/study/reservation-study/. When making the reservation, you can select if you want a PC workspace or not. You cannot make a reservation for more than 1 person. Notice that you cannot make a reservation if you are not a RU student or employee, and it is not possible to reserve a workspace more than 2 days in advance.",Reservation of a study workspace
Can I study for exams in the UB?,"If you want to work at a study workspace in the library, you need to make a reservation on https://www.ru.nl/library/services/study/reservation-study/. When making the reservation, you can select if you want a PC workspace or not. You cannot make a reservation for more than 1 person. Notice that you cannot make a reservation if you are not a RU student or employee, and it is not possible to reserve a workspace more than 2 days in advance.",Reservation of a study workspace
"I am visiting the Hospital for a friend, I have to wait a couple of hours. Is it possible to work in the library?","If you want to work at a study workspace in the library, you need to make a reservation on https://www.ru.nl/library/services/study/reservation-study/. When making the reservation, you can select if you want a PC workspace or not. You cannot make a reservation for more than 1 person. Notice that you cannot make a reservation if you are not a RU student or employee, and it is not possible to reserve a workspace more than 2 days in advance.",Reservation of a study workspace
I cannot find the book I am searching for in RuQuest. Can you tell me where I can find this book?,"Sadly, the library doesn't have a physical copy of the book and doesn't have access to the e-book. You can try to make an IBL-request for this specific book at: https://ru.on.worldcat.org/oclc/901546555",Unable to find my book in RUQuest
Is it possible for you to get me access to a book that I need for my thesis? I cannot access the book in RuQuest,"Sadly, the library doesn't have a physical copy of the book and doesn't have access to the e-book. You can try to make an IBL-request for this specific book at: https://ru.on.worldcat.org/oclc/901546555",Unable to find my book in RUQuest
What does it mean if RuQuest does not show the book that I am looking for?,"Sadly, the library doesn't have a physical copy of the book and doesn't have access to the e-book. You can try to make an IBL-request for this specific book at: https://ru.on.worldcat.org/oclc/901546555",Unable to find my book in RUQuest
"I looked for a book in the library today and couldn't find it, and RuQuest doesn't give me any results. What can I do?","Sadly, the library doesn't have a physical copy of the book and doesn't have access to the e-book. You can try to make an IBL-request for this specific book at: https://ru.on.worldcat.org/oclc/901546555",Unable to find my book in RUQuest
"I am trying to access the book X, but without any luck.","Sadly, the library doesn't have a physical copy of the book and doesn't have access to the e-book. You can try to make an IBL-request for this specific book at: https://ru.on.worldcat.org/oclc/901546555",Unable to find my book in RUQuest
What do you do when you do not get a result in RuQuest when searching for a book?,"Sadly, the library doesn't have a physical copy of the book and doesn't have access to the e-book. You can try to make an IBL-request for this specific book at: https://ru.on.worldcat.org/oclc/901546555",Unable to find my book in RUQuest
"RuQuest says my book is not there, what should I do?","Sadly, the library doesn't have a physical copy of the book and doesn't have access to the e-book. You can try to make an IBL-request for this specific book at: https://ru.on.worldcat.org/oclc/901546555",Unable to find my book in RUQuest
The publication I'm looking for is not on RuQuest.,"Sadly, the library doesn't have a physical copy of the book and doesn't have access to the e-book. You can try to make an IBL-request for this specific book at: https://ru.on.worldcat.org/oclc/901546555",Unable to find my book in RUQuest
What does it mean if my search in RuQuest didn't give any results?,"Sadly, the library doesn't have a physical copy of the book and doesn't have access to the e-book. You can try to make an IBL-request for this specific book at: https://ru.on.worldcat.org/oclc/901546555",Unable to find my book in RUQuest
I want to borrow a book but it is not available at Radboud University. What should I do?,"Sadly, the library doesn't have a physical copy of the book and doesn't have access to the e-book. You can try to make an IBL-request for this specific book at: https://ru.on.worldcat.org/oclc/901546555",Unable to find my book in RUQuest
" I have been trying to find a source for my report in order to cite. Nonetheless, I have not been able to find it in our library.","Sadly, the library doesn't have a physical copy of the book and doesn't have access to the e-book. You can try to make an IBL-request for this specific book at: https://ru.on.worldcat.org/oclc/901546555",Unable to find my book in RUQuest
"I cannot find this book in your repository of the library, is there any way to obtain this book so that I can borrow it?","Sadly, the library doesn't have a physical copy of the book and doesn't have access to the e-book. You can try to make an IBL-request for this specific book at: https://ru.on.worldcat.org/oclc/901546555",Unable to find my book in RUQuest
"I get the error: ""Make contact with staff. Law library open stacks: not available. Error during processing.""","Sadly, the library doesn't have a physical copy of the book and doesn't have access to the e-book. You can try to make an IBL-request for this specific book at: https://ru.on.worldcat.org/oclc/901546555",Unable to find my book in RUQuest
"I am trying to borrow a book online but I get the following error: ""Please contact a library staff member. You have submitted 1 reservation request(s). There has been 1 faulty request(s). This user has not been found."" What am I doing wrong?",Your RU account probably has not been activated as a library account. It is possible that your account has been deactivated if you haven't used it in over a year. If you have just activated your account it takes a working day to process your activation. You can find more information on how to activate your account here: https://www.ru.nl/library/services/support/RuQuest-help-explanation/activate-your-campus-card-library-card-RuQuest/,Activating a library card
"I tried to make a reservation for a book via the catalog and I get the error ""This user cannot be found."" How can I solve this? Does this mean that my account has not been activated correctly?",Your RU account probably has not been activated as a library account. It is possible that your account has been deactivated if you haven't used it in over a year. If you have just activated your account it takes a working day to process your activation. You can find more information on how to activate your account here: https://www.ru.nl/library/services/support/RuQuest-help-explanation/activate-your-campus-card-library-card-RuQuest/,Activating a library card
"I wanted to borrow an e-book and requested it via RuQuest. However, I got the message ""This user cannot be found"". Can you help?",Your RU account probably has not been activated as a library account. It is possible that your account has been deactivated if you haven't used it in over a year. If you have just activated your account it takes a working day to process your activation. You can find more information on how to activate your account here: https://www.ru.nl/library/services/support/RuQuest-help-explanation/activate-your-campus-card-library-card-RuQuest/,Activating a library card
I went to the library to borrow a book and the device for borrowing books didn't accept my card. I really need the book and I'm not sure what to do next.,Your RU account probably has not been activated as a library account. It is possible that your account has been deactivated if you haven't used it in over a year. If you have just activated your account it takes a working day to process your activation. You can find more information on how to activate your account here: https://www.ru.nl/library/services/support/RuQuest-help-explanation/activate-your-campus-card-library-card-RuQuest/,Activating a library card
I cannot log into RuQuest. I haven't used it before and I don't know what I should do.,Your RU account probably has not been activated as a library account. It is possible that your account has been deactivated if you haven't used it in over a year. If you have just activated your account it takes a working day to process your activation. You can find more information on how to activate your account here: https://www.ru.nl/library/services/support/RuQuest-help-explanation/activate-your-campus-card-library-card-RuQuest/,Activating a library card
"I tried to use my library card to borrow a book, but it didn't work. It used to work a year ago.",Your RU account probably has not been activated as a library account. It is possible that your account has been deactivated if you haven't used it in over a year. If you have just activated your account it takes a working day to process your activation. You can find more information on how to activate your account here: https://www.ru.nl/library/services/support/RuQuest-help-explanation/activate-your-campus-card-library-card-RuQuest/,Activating a library card
How can I request a library card?,Your RU account probably has not been activated as a library account. It is possible that your account has been deactivated if you haven't used it in over a year. If you have just activated your account it takes a working day to process your activation. You can find more information on how to activate your account here: https://www.ru.nl/library/services/support/RuQuest-help-explanation/activate-your-campus-card-library-card-RuQuest/,Activating a library card
I want to borrow a book but have not done that before. Anything I should do?,Your RU account probably has not been activated as a library account. It is possible that your account has been deactivated if you haven't used it in over a year. If you have just activated your account it takes a working day to process your activation. You can find more information on how to activate your account here: https://www.ru.nl/library/services/support/RuQuest-help-explanation/activate-your-campus-card-library-card-RuQuest/,Activating a library card
I can't manage to borrow a book online.,Your RU account probably has not been activated as a library account. It is possible that your account has been deactivated if you haven't used it in over a year. If you have just activated your account it takes a working day to process your activation. You can find more information on how to activate your account here: https://www.ru.nl/library/services/support/RuQuest-help-explanation/activate-your-campus-card-library-card-RuQuest/,Activating a library card
I want to request a book but I get an error.,Your RU account probably has not been activated as a library account. It is possible that your account has been deactivated if you haven't used it in over a year. If you have just activated your account it takes a working day to process your activation. You can find more information on how to activate your account here: https://www.ru.nl/library/services/support/RuQuest-help-explanation/activate-your-campus-card-library-card-RuQuest/,Activating a library card
"I try to reserve a book, but I only get an error that says that I need to refresh my page or I need to ask for help from a staff member.",Your RU account probably has not been activated as a library account. It is possible that your account has been deactivated if you haven't used it in over a year. If you have just activated your account it takes a working day to process your activation. You can find more information on how to activate your account here: https://www.ru.nl/library/services/support/RuQuest-help-explanation/activate-your-campus-card-library-card-RuQuest/,Activating a library card
I cannot place a reservation for a book online.,Your RU account probably has not been activated as a library account. It is possible that your account has been deactivated if you haven't used it in over a year. If you have just activated your account it takes a working day to process your activation. You can find more information on how to activate your account here: https://www.ru.nl/library/services/support/RuQuest-help-explanation/activate-your-campus-card-library-card-RuQuest/,Activating a library card
"When I try to request a book online, I get the message that I need to contact a staff member.",Your RU account probably has not been activated as a library account. It is possible that your account has been deactivated if you haven't used it in over a year. If you have just activated your account it takes a working day to process your activation. You can find more information on how to activate your account here: https://www.ru.nl/library/services/support/RuQuest-help-explanation/activate-your-campus-card-library-card-RuQuest/,Activating a library card
